"DATE","TIME PERIOD","Euribor 1-year - Historical close, average of observations through period (FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA)"
"1994-01-31","1994Jan","6.3400"
"1994-02-28","1994Feb","6.4200"
"1994-03-31","1994Mar","6.5500"
"1994-04-30","1994Apr","6.4600"
"1994-05-31","1994May","6.2500"
"1994-06-30","1994Jun","6.6200"
"1994-07-31","1994Jul","6.7700"
"1994-08-31","1994Aug","7.0800"
"1994-09-30","1994Sep","7.3100"
"1994-10-31","1994Oct","7.3000"
"1994-11-30","1994Nov","7.1900"
"1994-12-31","1994Dec","7.5100"
"1995-01-31","1995Jan","7.6600"
"1995-02-28","1995Feb","7.5000"
"1995-03-31","1995Mar","8.0200"
"1995-04-30","1995Apr","7.6300"
"1995-05-31","1995May","7.2500"
"1995-06-30","1995Jun","7.2400"
"1995-07-31","1995Jul","7.1600"
"1995-08-31","1995Aug","6.8300"
"1995-09-30","1995Sep","6.5900"
"1995-10-31","1995Oct","6.7600"
"1995-11-30","1995Nov","6.4300"
"1995-12-31","1995Dec","6.2100"
"1996-01-31","1996Jan","5.6900"
"1996-02-29","1996Feb","5.5600"
"1996-03-31","1996Mar","5.5500"
"1996-04-30","1996Apr","5.3200"
"1996-05-31","1996May","5.0700"
"1996-06-30","1996Jun","5.1900"
"1996-07-31","1996Jul","5.1800"
"1996-08-31","1996Aug","5.1600"
"1996-09-30","1996Sep","4.9600"
"1996-10-31","1996Oct","4.6700"
"1996-11-30","1996Nov","4.5400"
"1996-12-31","1996Dec","4.3900"
"1997-01-31","1997Jan","4.2500"
"1997-02-28","1997Feb","4.3200"
"1997-03-31","1997Mar","4.5500"
"1997-04-30","1997Apr","4.4700"
"1997-05-31","1997May","4.3600"
"1997-06-30","1997Jun","4.3300"
"1997-07-31","1997Jul","4.3200"
"1997-08-31","1997Aug","4.4900"
"1997-09-30","1997Sep","4.4200"
"1997-10-31","1997Oct","4.5500"
"1997-11-30","1997Nov","4.5600"
"1997-12-31","1997Dec","4.4100"
"1998-01-31","1998Jan","4.2200"
"1998-02-28","1998Feb","4.1700"
"1998-03-31","1998Mar","4.0500"
"1998-04-30","1998Apr","4.1200"
"1998-05-31","1998May","4.1300"
"1998-06-30","1998Jun","4.0800"
"1998-07-31","1998Jul","4.0100"
"1998-08-31","1998Aug","3.9300"
"1998-09-30","1998Sep","3.7500"
"1998-10-31","1998Oct","3.5900"
"1998-11-30","1998Nov","3.5500"
"1998-12-31","1998Dec","3.2700"
"1999-01-31","1999Jan","3.0617"
"1999-02-28","1999Feb","3.0297"
"1999-03-31","1999Mar","3.0462"
"1999-04-30","1999Apr","2.7564"
"1999-05-31","1999May","2.6827"
"1999-06-30","1999Jun","2.8363"
"1999-07-31","1999Jul","3.0300"
"1999-08-31","1999Aug","3.2373"
"1999-09-30","1999Sep","3.3011"
"1999-10-31","1999Oct","3.6837"
"1999-11-30","1999Nov","3.6892"
"1999-12-31","1999Dec","3.8263"
"2000-01-31","2000Jan","3.9495"
"2000-02-29","2000Feb","4.1114"
"2000-03-31","2000Mar","4.2675"
"2000-04-30","2000Apr","4.3645"
"2000-05-31","2000May","4.8485"
"2000-06-30","2000Jun","4.9649"
"2000-07-31","2000Jul","5.1050"
"2000-08-31","2000Aug","5.2484"
"2000-09-30","2000Sep","5.2192"
"2000-10-31","2000Oct","5.2184"
"2000-11-30","2000Nov","5.1933"
"2000-12-31","2000Dec","4.8809"
"2001-01-31","2001Jan","4.5736"
"2001-02-28","2001Feb","4.5913"
"2001-03-31","2001Mar","4.4711"
"2001-04-30","2001Apr","4.4811"
"2001-05-31","2001May","4.5205"
"2001-06-30","2001Jun","4.3125"
"2001-07-31","2001Jul","4.3109"
"2001-08-31","2001Aug","4.1075"
"2001-09-30","2001Sep","3.7700"
"2001-10-31","2001Oct","3.3694"
"2001-11-30","2001Nov","3.1979"
"2001-12-31","2001Dec","3.2981"
"2002-01-31","2002Jan","3.4832"
"2002-02-28","2002Feb","3.5936"
"2002-03-31","2002Mar","3.8156"
"2002-04-30","2002Apr","3.8602"
"2002-05-31","2002May","3.9627"
"2002-06-30","2002Jun","3.8688"
"2002-07-31","2002Jul","3.6448"
"2002-08-31","2002Aug","3.4404"
"2002-09-30","2002Sep","3.2364"
"2002-10-31","2002Oct","3.1259"
"2002-11-30","2002Nov","3.0174"
"2002-12-31","2002Dec","2.8716"
"2003-01-31","2003Jan","2.7045"
"2003-02-28","2003Feb","2.5036"
"2003-03-31","2003Mar","2.4112"
"2003-04-30","2003Apr","2.4470"
"2003-05-31","2003May","2.2521"
"2003-06-30","2003Jun","2.0137"
"2003-07-31","2003Jul","2.0761"
"2003-08-31","2003Aug","2.2786"
"2003-09-30","2003Sep","2.2576"
"2003-10-31","2003Oct","2.3025"
"2003-11-30","2003Nov","2.4103"
"2003-12-31","2003Dec","2.3808"
"2004-01-31","2004Jan","2.2163"
"2004-02-29","2004Feb","2.1630"
"2004-03-31","2004Mar","2.0550"
"2004-04-30","2004Apr","2.1626"
"2004-05-31","2004May","2.2974"
"2004-06-30","2004Jun","2.4044"
"2004-07-31","2004Jul","2.3610"
"2004-08-31","2004Aug","2.3020"
"2004-09-30","2004Sep","2.3770"
"2004-10-31","2004Oct","2.3161"
"2004-11-30","2004Nov","2.3283"
"2004-12-31","2004Dec","2.3010"
"2005-01-31","2005Jan","2.3121"
"2005-02-28","2005Feb","2.3100"
